,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed
2313,-0.00567722,-0.474491328,0.854401171,-0.004970759,0.044619638,-0.087817334,502.575114,
2314,0.065460399,-0.46315372,0.846846521,0.055199459,0.037900124,-0.057884939,502.778528,
2315,-0.003455699,-0.470390499,0.953829467,0.067722201,0.07852266,-0.078348927,502.97858,
2316,-0.016537989,-0.46435985,1.004031062,0.018852979,0.051339157,-0.067047916,503.175586,
2317,0.000242446,-0.480280757,0.895342231,0.069858484,-0.02623819,-0.052991919,503.378277,
2318,-0.035544332,-0.427693516,0.848796129,0.062833533,-0.030514246,-0.025197551,503.575157,
2319,-0.041468389,-0.503920913,0.954316854,-0.005583376,-0.003636176,-0.023670387,503.781901,
2320,-0.020240523,-0.490171045,0.854644895,-0.023298472,0.016522378,-0.013896544,503.978414,
2321,0.032730199,-0.415632218,0.841241479,0.085428365,0.002777676,-0.01756026,504.176101,
2322,0.012849634,-0.374623835,0.841241479,0.037780881,0.047676273,-0.021530883,504.37851,
2323,-0.000740507,-0.412737519,0.880233049,0.104059756,-0.01188309,-0.047187224,504.585904,
2324,-0.03974054,-0.384514064,0.80858618,0.014262572,0.026906854,-0.028861266,504.774446,
2325,-0.077259555,-0.46387741,0.935795903,0.030755922,-0.024405828,-0.028861266,504.977311,
2326,-0.032088634,-0.429864556,0.820283592,0.035642847,0.007664598,0.000765698,505.174184,
2327,-0.050107639,-0.428899646,0.865367532,0.010597378,0.012856952,-0.008397281,505.377953,
2328,-0.076272219,-0.436860085,0.948224485,-0.030025169,-0.01646458,-0.006870118,505.574599,
2329,-0.016537989,-0.415873438,0.92872864,0.044194967,-0.013410253,0.004430889,505.774632,
2330,0.018910781,-0.425763696,0.87072885,0.008459345,0.016522145,0.049634919,505.977393,
2331,-0.064917773,-0.452781022,0.907770753,0.039308041,-0.040593755,0.004125457,506.174644,
